# slice R smoke — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
census/C/re/integrate_calls	0	0
census/C/re/match_calls	0	0
census/C/re/powers_calls	244	244
D/flat_identity	4607182418800017370	0.9999999999999958
D/shaped	4608304483503988951	1.2491484138936835
D/shaped_at_nu	4608304483503988951	1.2491484138936835
D/nu_lp	4605410552180224224	0.8032832882140859
D/nu_hp	4605678410599972044	0.8330215467084598
census/D/close_bracket_fails	0	0
census/D/close_calls	6	6
census/D/close_nonreal_propagated	0	0
census/D/eig_complex	0	0
census/D/eig_real	0	0
census/D/hi_wall_literal	2	2
census/D/hi_wall_map	4	4
census/D/illinois_calls	6	6
census/D/illinois_evals	42	42
census/D/illinois_exhausted	0	0
census/D/instant_calls	6	6
census/D/integrate_calls	0	0
census/D/match_calls	3	3
census/D/powers_calls	0	0
E/J/00	13832742972500293299	-1.4859483583308417
E/J/01	4602482778220089415	0.48911754103506094
E/J/10	13808500948155665073	-0.03447305125452738
E/J/11	13829908859957386896	-0.9283244792140568
E/band_is_none	0	0
E/band_lo	4608460149588996140	1.283713228239331
E/band_hi	4611667575051561919	1.9959047479012353
E/damping_max	4592631047577721050	0.11055915786423345
E/eig/0/lo	13832598479442634391	-1.4538644544285597
E/eig/0/hi	13830197846072704715	-0.9604083831163391
E/eig/0/rho	4607182418800017408	1.0
E/eig/1/lo	13829908859957386896	-0.9283244792140568
E/eig/1/hi	13829908859957386896	-0.9283244792140568
E/eig/1/rho	4609887630986525068	1.6006777711914735
E/flat/band_is_none	1	1
E/flat/damping_max	0	0.0
census/E/close_bracket_fails	0	0
census/E/close_calls	15	15
census/E/close_nonreal_propagated	0	0
census/E/eig_complex	1	1
census/E/eig_real	1	1
census/E/hi_wall_literal	6	6
census/E/hi_wall_map	9	9
census/E/illinois_calls	15	15
census/E/illinois_evals	99	99
census/E/illinois_exhausted	0	0
census/E/instant_calls	15	15
census/E/integrate_calls	0	0
census/E/match_calls	1	1
census/E/powers_calls	0	0
F/npts	25	25
F/0/s	0	0.0
F/0/nu_lp	4605410552180224224	0.8032832882140859
F/0/nu_hp	4605678410599972044	0.8330215467084598
F/0/Tt4	4652552666608566272	1100.0
F/0/slip	4606860868390179612	0.9643007331420423
F/0/pi_lpc	4612313180577581143	2.278515943727182
F/0/pi_hpc	4616627776315597239	4.389162711690395
F/0/phi_lp	4605518683776595166	0.8152883070121353
F/0/phi_hp	4606757666666192318	0.9528430401268719
F/0/mdot_air	4604074101639892666	0.6549074720992032
F/0/f	4581045405737807317	0.0186940196981434
F/0/Phi_lp	13648635869287258934	-7.303057652737443e-13
F/0/Phi_hp	13629493634073865087	-3.8526460064093864e-14
F/0/sp_thrust	4647557687566073592	503.06831408663083
F/1/s	4587366580439587226	0.05
F/1/nu_lp	4605411104400925341	0.8033445970277914
F/1/nu_hp	4605678870017287185	0.833072552276578
F/1/Tt4	4652574656841121792	1105.0
F/1/slip	4606860999476298114	0.9643152866247393
F/1/pi_lpc	4612315153441401882	2.2793920712624756
F/1/pi_hpc	4616633738762564946	4.394458428415719
F/1/phi_lp	4605512096686410839	0.8145569930933431
F/1/phi_hp	4606747948651674715	0.9517641237797635
F/1/mdot_air	4604069260155663463	0.6543699593727411
F/1/f	4581087620769943828	0.018840482512716042
F/1/Phi_lp	4567749904555454375	0.002430122955791664
F/1/Phi_hp	4566813142935527856	0.002023867362421515
F/1/sp_thrust	4647595362817974532	505.2099042111224
F/2/s	4591870180066957722	0.1
F/2/nu_lp	4605412721678309973	0.8035241508867538
F/2/nu_hp	4605680219240215720	0.8332223461126391
F/2/Tt4	4652596647073677312	1110.0
F/2/slip	4606861378968148106	0.9643574186836912
F/2/pi_lpc	4612317979184394613	2.280646953235357
F/2/pi_hpc	4616640407076242352	4.400381080719782
F/2/phi_lp	4605506771470132343	0.8139657753209936
F/2/phi_hp	4606738949290179922	0.9507649939459191
F/2/mdot_air	4604066298580378426	0.6540411584656802
F/2/f	4581129466018241615	0.01898566238187654
F/2/Phi_lp	4572104754490935651	0.0047312261203010545
F/2/Phi_hp	4571206909731391881	0.00395246992921939
F/2/sp_thrust	4647633915415905600	507.40136568349044
F/3/s	4594572339843380020	0.15000000000000002
F/3/nu_lp	4605415347780890932	0.8038157068417946
F/3/nu_hp	4605682416601156585	0.8334663021836352
F/3/Tt4	4652618637306232832	1115.0
F/3/slip	4606861987344581300	0.9644249620360683
F/3/pi_lpc	4612321613523965452	2.2822609242236975
F/3/pi_hpc	4616647753861798478	4.406906337104898
F/3/phi_lp	4605502652106240222	0.8135084340570093
F/3/phi_hp	4606730638217803013	0.949842279554702
F/3/mdot_air	4604065124928603117	0.6539108569432962
F/3/f	4581170959505427837	0.019129621834520705
F/3/Phi_lp	4574618464809503108	0.006911522271013108
F/3/Phi_hp	4573326849259131211	0.005791224362429691
F/3/sp_thrust	4647673301913776349	509.64022887941775
F/4/s	4596373779694328218	0.2
F/4/nu_lp	4605418930033353590	0.8042134167582009
F/4/nu_hp	4605685422778342871	0.8338000548964669
F/4/Tt4	4652640627538788352	1120.0
F/4/slip	4606862806509967401	0.9645159076633308
F/4/pi_lpc	4612326015147438270	2.2842156377137988
F/4/pi_hpc	4616655753119077125	4.414011104793421
F/4/phi_lp	4605499685849545031	0.8131791134090144
F/4/phi_hp	4606722986582094571	0.9489927773407464
F/4/mdot_air	4604065653617762600	0.653969553231069
F/4/f	4581212118210154987	0.019272419777182675
F/4/Phi_lp	4576329432829256953	0.00897860093253876
F/4/Phi_hp	4575348974435632943	0.00754513836995034
F/4/sp_thrust	4647713480315365603	511.92410659011347
F/5/s	4598175219545276416	0.25
F/5/nu_lp	4605423419048544968	0.8047117975605369
F/5/nu_hp	4605689200620474218	0.834219479628229
F/5/Tt4	4652662617771343872	1125.0
F/5/slip	4606863819704192295	0.9646283948190203
F/5/pi_lpc	4612331145470715172	2.2864939589241136
F/5/pi_hpc	4616664380139728160	4.421673438361978
F/5/phi_lp	4605497822966368316	0.8129722918295168
F/5/phi_hp	4606715966940667941	0.9482134405871007
F/5/mdot_air	4604067804907086216	0.6542083943250399
F/5/f	4581252958144565245	0.01941411176314033
F/5/Phi_lp	4577459804775729652	0.01093948368467055
F/5/Phi_hp	4576467926460946503	0.009218849086703907
F/5/sp_thrust	4647734612749179849	514.2506927539299
F/6/s	4599075939470750515	0.3
F/6/nu_lp	4605428768483085396	0.8053057041000877
F/6/nu_hp	4605693714987678667	0.8347206750694282
F/6/Tt4	4652684608003899392	1130.0
F/6/slip	4606865011417516389	0.9647607015761365
F/6/pi_lpc	4612336968419378168	2.289079867594861
F/6/pi_hpc	4616673611413954857	4.429872456916464
F/6/phi_lp	4605497016495384560	0.812882755564031
F/6/phi_hp	4606709553168355170	0.9475013688174665
F/6/mdot_air	4604071504393461129	0.6546191198203114
F/6/f	4581293494424901443	0.01955475023739629
F/6/Phi_lp	4578532707871065848	0.01280067387159843
F/6/Phi_hp	4577389000186149429	0.010816657300918834
F/6/sp_thrust	4647755433702070616	516.617761046432
F/7/s	4599976659396224614	0.35
F/7/nu_lp	4605434934814226651	0.8059903043811362
F/7/nu_hp	4605698932607048854	0.8352999471852793
F/7/Tt4	4652706598236454912	1135.0
F/7/slip	4606866367310116326	0.9649112358944734
