# phase-5I off-design matcher oracle — key	u64 bits	repr
# cpython 3.14.3
cell/cpg/0.85/500/n_solve_turbine	4619567317775286272	7.0
cell/cpg/0.85/500/pi_c	4612766504364167119	2.4798321459183863
cell/cpg/0.85/500/tau_c	4608698595972532942	1.3366589612675628
cell/cpg/0.85/500/tau_t	4605770043656554644	0.8431948596319381
cell/cpg/0.85/500/pi_t	4601530257231730810	0.43624200439933924
cell/cpg/0.85/500/mdot_air	4601606455355658423	0.4404718499802231
cell/cpg/0.85/500/mdot_ratio	4601606455355658423	0.4404718499802231
cell/cpg/0.85/500/thrust	4627722430151815506	24.97277929225067
cell/cpg/0.85/500/V0	4643446085055202208	269.3507703720188
cell/cpg/0.85/500/V9	4644411309589154908	324.21743285022035
cell/cpg/0.85/500/M9	4605953948797180036	0.8636124317788618
cell/cpg/0.85/500/T9	4645378174776172277	379.17735565778213
cell/cpg/0.85/500/p9	4677104761256804352	50000.0
cell/cpg/0.85/500/F_over_mdot	4633176001983846024	56.6955170764532
cell/cpg/0.85/500/tsfc	4546969738545170726	9.949335945650238e-05
cell/cpg/0.85/500/eta_th	4589612975533288774	0.06867499444290556
cell/cpg/0.85/500/eta_p	4606471272105595720	0.9210468565966972
cell/cpg/0.85/500/s2/Tt	4643741180423569407	286.12499999999994
cell/cpg/0.85/500/s2/pt	4680081772134739219	77785.20992963416
cell/cpg/0.85/500/s3/Tt	4645435774929374122	382.4515452926813
cell/cpg/0.85/500/s3/pt	4685867809283752608	192894.26406051684
cell/cpg/0.85/500/s4/Tt	4647503709213818880	500.0
cell/cpg/0.85/500/s4/pt	4685602697425920317	185178.49349809616
cell/cpg/0.85/500/s5/Tt	4646124436612781025	421.59742981596906
cell/cpg/0.85/500/s5/pt	4680287753766612813	80782.63717525937
cell/cpg/0.85/500/s9/Tt	4646124436612781025	421.59742981596906
cell/cpg/0.85/500/s9/pt	4680176726955492054	79166.98443175419
cell/cpg/0.85/500/s4/far	4573153453436162739	0.005640827460059827
cell/cpg/0.85/600/abort	0	0.0
cell/cpg/0.85/600/branch	0	0.0
cell/cpg/0.85/600/n_solve_turbine	4619567317775286272	7.0
cell/cpg/0.85/600/pi_c	4613854806524915833	2.9631353925633985
cell/cpg/0.85/600/tau_c	4609044817658202032	1.4135356186784342
cell/cpg/0.85/600/tau_t	4605740205924975101	0.8398822059717187
cell/cpg/0.85/600/pi_t	4601379591121935493	0.4278783551930661
cell/cpg/0.85/600/mdot_air	4602305665103720967	0.47928578804729266
cell/cpg/0.85/600/mdot_ratio	4602305665103720967	0.47928578804729266
cell/cpg/0.85/600/thrust	4634470073827320459	67.78090111155522
cell/cpg/0.85/600/V0	4643446085055202208	269.3507703720188
cell/cpg/0.85/600/V9	4645807512154437851	403.5823600831333
