# phase-5K two-spool matcher oracle — key	u64 bits	repr
# cpython 3.14.3
r38/cpg/0.50/1100/pi_lpc	4612704937396484313	2.4524909198872646
r38/cpg/0.50/1100/pi_hpc	4617069183406424851	4.781210964066093
r38/cpg/0.50/1100/tau_lpc	4608644388947742541	1.3246225838638168
r38/cpg/0.50/1100/tau_hpc	4610067286058792264	1.640569210735821
r38/cpg/0.50/1100/tau_hpt	4605717804202370306	0.8373951151490078
r38/cpg/0.50/1100/pi_hpt	4601427004634511389	0.4305103338600718
r38/cpg/0.50/1100/tau_lpt	4606513284257310083	0.9257111424114303
r38/cpg/0.50/1100/pi_lpt	4604376207078889679	0.6884479135231006
r38/cpg/0.50/1100/mdot_air	4603287843256510963	0.5676152560457112
r38/cpg/0.50/1100/mdot_ratio	4603287843256510963	0.5676152560457112
r38/cpg/0.50/1100/thrust	4644577028757689934	333.63747696052167
r38/cpg/0.50/1100/V0	4639778685815524299	158.4416296305993
r38/cpg/0.50/1100/V9	4647829030218768694	524.9847162971625
r38/cpg/0.50/1100/M9	4607182418800017402	0.9999999999999993
r38/cpg/0.50/1100/T9	4649733362664785251	741.482250055455
r38/cpg/0.50/1100/p9	4681790770412056950	102654.40798658677
r38/cpg/0.50/1100/F_over_mdot	4648381454377197981	587.7880719500132
r38/cpg/0.50/1100/tsfc	4539962418401241390	3.278080958231604e-05
r38/cpg/0.50/1100/eta_th	4594756101610297251	0.1551004136169328
r38/cpg/0.50/1100/eta_p	4604733389553800899	0.728103134287004
r38/cpg/0.50/1100/s2/Tt	4643325565028270080	262.5
r38/cpg/0.50/1100/s2/pt	4678139857026256349	57531.31294515331
r38/cpg/0.50/1100/s25/Tt	4644824655511777296	347.7134282642519
r38/cpg/0.50/1100/s25/pt	4684088000899755133	141095.02260718113
r38/cpg/0.50/1100/s3/Tt	4648228929003744076	570.4479445697302
r38/cpg/0.50/1100/s3/pt	4694042025511382959	674605.0690646077
r38/cpg/0.50/1100/s4/Tt	4652552666608566272	1100.0
r38/cpg/0.50/1100/s4/pt	4693810232974635094	647620.8663020234
r38/cpg/0.50/1100/s45/Tt	4651313601681093953	921.1346266639085
r38/cpg/0.50/1100/s45/pt	4688533488419632456	278807.4753664327
r38/cpg/0.50/1100/s5/Tt	4650711684691655831	852.7045875637731
r38/cpg/0.50/1100/s5/pt	4685835173051512827	191944.42469066367
r38/cpg/0.50/1100/s9/Tt	4650711684691655831	852.7045875637731
r38/cpg/0.50/1100/s9/pt	4685703269847241477	188105.5361968504
r38/cpg/0.50/1100/s4/far	4581210892967085564	0.019268168861350063
r38/cpg/0.50/1500/abort	0	0.0
r38/cpg/0.50/1500/n_pass	4620693217682128896	8.0
r38/cpg/0.50/1500/pi_lpc	4614532829432481005	3.264238049844258
r38/cpg/0.50/1500/pi_hpc	4619053564787685576	6.543695683356596
r38/cpg/0.50/1500/tau_lpc	4609194782568388525	1.4468345179134119
r38/cpg/0.50/1500/tau_hpc	4610817943614218813	1.8072486710644988
r38/cpg/0.50/1500/tau_hpt	4605717804202370306	0.8373951151490078
r38/cpg/0.50/1500/pi_hpt	4601427004634511389	0.4305103338600718
