# phase-4G NO-march oracle — key	u64 bits	repr
# pypy 3.11.15
exact/vhot/2/ratio	4611836931942881115	2.0670190638510753
exact/vhot/3/tau	4609488409736829609	1.512032846525168
exact/vhot/3/beta	4601182394947249755	0.41693176851786057
exact/vhot/3/a	4604239309053723691	0.6732491795666012
exact/vhot/3/surrogate	4604934383678183274	0.7504179647573725
exact/vhot/3/ratio	4611719617324032218	2.0149209074626073
exact/vhot/4/tau	4614211682204602204	3.121620031170023
exact/vhot/4/beta	4600463896812512228	0.37704710990106904
exact/vhot/4/a	4606165694861651803	0.8871209673938937
exact/vhot/4/surrogate	4609965368361630452	1.6179389359346574
exact/vhot/4/ratio	4611367977024607626	1.9293806223698504
exact/vhot/5/tau	4619051732856100293	6.54206860125618
exact/vhot/5/beta	4599770144450824323	0.33853611763436947
exact/vhot/5/a	4608021432826345278	1.1862985380025317
exact/vhot/5/surrogate	4615274431554340370	3.593575550163913
exact/vhot/5/ratio	4610877577569003898	1.8204900689948702
exact/vhot/6/tau	4624071500906921274	14.001036511791074
exact/vhot/6/beta	4599104568400224644	0.3015892248336274
exact/vhot/6/a	4609936380409245173	1.6115023174996825
exact/vhot/6/surrogate	4620826832101328191	8.23734688738716
exact/vhot/6/ratio	4610333597304408182	1.6997021860557004
exact/vhot/7/tau	4629362848939391670	30.800717557833842
exact/vhot/7/beta	4598470509273623997	0.2663918727673396
exact/vhot/7/a	4612195193771658397	2.226119276312217
exact/vhot/7/surrogate	4626188969886940850	19.52483403333344
exact/vhot/7/ratio	4609783314907636879	1.5775149486674171
exact/vhot/8/tau	4634634089371271930	70.1117021776844
exact/vhot/8/beta	4597567074159251902	0.23312057475290077
exact/vhot/8/a	4614232053652254276	3.1306667712613336
exact/vhot/8/surrogate	4631945777522564073	47.95424653327047
exact/vhot/8/ratio	4609263325418254609	1.4620540879323622
exact/vhot/9/tau	4640050905215138234	166.1785703077456
exact/vhot/9/beta	4596443618846412521	0.2019384258666073
exact/vhot/9/a	4616738730913924254	4.487710191490946
exact/vhot/9/surrogate	4638307328315553247	122.31156714908819
exact/vhot/9/ratio	4608797633318840312	1.3586496697012063
