# phase-6Q combustor-transient oracle — key	u64 bits (or an integer)	repr
# pypy 3.11.15
B/flow/1400/2/dpt4_ds	13722969398881423684	-6.623974877119653e-08
B/flow/1400/2/tau_t	4605746347658377167	0.840564075355127
B/flow/1400/2/Tt3	4648167828330825671	563.501602282974
B/flow/1400/2/split	13615985498861513623	-4.817908772949835e-15
B/flow/1400/3/nu	4606772882669196752	0.9545323558147008
B/flow/1400/3/pt4	4694116457420721650	683270.0837444647
B/flow/1400/3/Tt4	4653988528556251640	1426.4772084743
B/flow/1400/3/pi_c	4621335798400657460	9.141452654224942
B/flow/1400/3/phi	4606631369125167717	0.9388211963269667
B/flow/1400/3/f	4582946011088601284	0.02528806913932226
B/flow/1400/3/mdot_c	4606246887924891552	0.8961352082187553
B/flow/1400/3/mdot_ngv	4606855980127120443	0.9637580269221709
B/flow/1400/3/Phi	4586540322195104802	0.04426668170430782
B/flow/1400/3/dpt4_ds	13917239467527642637	-654279.5547494307
B/flow/1400/3/tau_t	4605750777676728261	0.8410559061924167
B/flow/1400/3/Tt3	4648212604914498889	568.5921104847595
B/flow/1400/3/split	13810256127140530321	-0.04665205201287493
B/flow/1400/4/nu	4606772882669196752	0.9545323558147008
B/flow/1400/4/pt4	4694287406313771223	703171.154144789
B/flow/1400/4/Tt4	4654111086999177110	1454.3437720988636
B/flow/1400/4/pi_c	4621485687148596268	9.407708556775184
B/flow/1400/4/phi	4606384359676123535	0.9113976385640842
B/flow/1400/4/f	4583165327593667904	0.026048976119338763
B/flow/1400/4/mdot_c	4606011109413586917	0.8699585350225304
B/flow/1400/4/mdot_ngv	4607019985573641558	0.9819662892113381
B/flow/1400/4/Phi	4591186873036351773	0.09051721002166287
B/flow/1400/4/dpt4_ds	13921707044655087251	-1300171.967655097
B/flow/1400/4/tau_t	4605755304997735464	0.8415585397946233
B/flow/1400/4/Tt3	4648257339668599031	573.6778632146587
