# phase-5L rung-41/42 surge-line + bleed oracle — key	u64 bits	repr
# pypy 3.11.15
r42/0.00/cpg/0.50/1100/pi_lpc	4612680217399965355	2.4415130361656643
r42/0.00/cpg/0.50/1100/pi_hpc	4617057320727237841	4.770674788412365
r42/0.00/cpg/0.50/1100/eta_lpc	4606235772081069889	0.8949011016438605
r42/0.00/cpg/0.50/1100/eta_hpc	4606087700208006768	0.8784618213664555
r42/0.00/cpg/0.50/1100/eta_hpt	4606461842859638129	0.92
r42/0.00/cpg/0.50/1100/eta_lpt	4606281698874543309	0.9
r42/0.00/cpg/0.50/1100/n_lp	4605831204291661892	0.8499850541616145
r42/0.00/cpg/0.50/1100/n_hp	4606301648843469150	0.9022148914842025
r42/0.00/cpg/0.50/1100/N_lp_ratio	4605508322974616616	0.8141380269211185
r42/0.00/cpg/0.50/1100/N_hp_ratio	4605720369100751821	0.837679876072906
r42/0.00/cpg/0.50/1100/slip	4606929283763362009	0.9718963653965843
r42/0.00/cpg/0.50/1100/phi_lp	4605912807151452652	0.8590447915431105
r42/0.00/cpg/0.50/1100/phi_hp	4606857832160898978	0.9639636439765022
r42/0.00/cpg/0.50/1100/nu_hpt	4606986055988993997	0.9781993486021691
r42/0.00/cpg/0.50/1100/nu_lpt	4606738439461029304	0.950708391539755
r42/0.00/cpg/0.50/1100/tau_hpt	4605717804202370306	0.8373951151490078
r42/0.00/cpg/0.50/1100/tau_lpt	4606513284257310083	0.9257111424114303
r42/0.00/cpg/0.50/1100/tau_lpc	4608644388947742540	1.3246225838638166
r42/0.00/cpg/0.50/1100/tau_hpc	4610067286058792265	1.6405692107358212
r42/0.00/cpg/0.50/1100/pi_hpt	4601427004634511389	0.4305103338600718
r42/0.00/cpg/0.50/1100/pi_lpt	4604376207078889679	0.6884479135231006
r42/0.00/cpg/0.50/1100/mdot_air	4603253741972585724	0.5638292529874032
r42/0.00/cpg/0.50/1100/mdot_ratio	4603253741972585724	0.5638292529874032
r42/0.00/cpg/0.50/1100/thrust	4644524643878213307	330.6597413144588
r42/0.00/cpg/0.50/1100/V0	4639778269427724694	158.42979517754856
r42/0.00/cpg/0.50/1100/V9	4647829030218768694	524.9847162971625
r42/0.00/cpg/0.50/1100/M9	4607182418800017402	0.9999999999999993
r42/0.00/cpg/0.50/1100/T9	4649733362664785251	741.482250055455
r42/0.00/cpg/0.50/1100/p9	4681743717733936091	101969.7014033044
r42/0.00/cpg/0.50/1100/F_over_mdot	4648369716957208403	586.4536817883876
r42/0.00/cpg/0.50/1100/tsfc	4539973425642833499	3.285539755261128e-05
