# phase-3A NOx oracle — key	u64 bits	repr
# cpython 3.14.3
tno/0.0677/1600.0/101325.0/0.003/1.0/x_no_eq	4541512746865399021	4.328624388797741e-05
tno/0.0677/1600.0/101325.0/0.003/1.0/initial_rate	4500900970086655068	8.349285778888954e-08
tno/0.0677/1600.0/101325.0/0.003/1.0/char_time	4660901875765664817	3948.7807461875714
tno/0.0677/1600.0/101325.0/0.003/1.0/ei_no	4513189980230761500	5.385809478517995e-07
tno/0.0677/1600.0/101325.0/0.003/1.0/frac_eq	4515278654538786941	7.597279422244402e-07
tno/0.0677/1600.0/1500000.0/0.003/1.0/x_no	4454275629772735587	6.099420367286632e-11
tno/0.0677/1600.0/1500000.0/0.003/1.0/x_no_eq	4536779583053284066	2.0865328232036187e-05
tno/0.0677/1600.0/1500000.0/0.003/1.0/initial_rate	4522523386317433589	2.2924777585397405e-06
tno/0.0677/1600.0/1500000.0/0.003/1.0/char_time	4652228352367122081	1026.2594789242505
tno/0.0677/1600.0/1500000.0/0.003/1.0/ei_no	4517323699879474484	9.988367635904414e-07
tno/0.0677/1600.0/1500000.0/0.003/1.0/frac_eq	4524012713623093772	2.923232407109566e-06
tno/0.0677/2000.0/101325.0/0.003/1.0/x_no	4514373123041804128	6.638510656343213e-07
