# slice S oracle (gas) — rungs 43+45 TwoSpoolFuelTransient — key	u64 bits (or an integer)	repr
T/reacting/0/eqf/Pc_lp	4681699833963081592	101331.10848992865
T/reacting/0/eqf/Phi_hp	13642611370712834849	-2.8836710854903997e-13
T/reacting/0/eqf/Phi_lp	4412740625774564249	1.0375338699467109e-13
T/reacting/0/eqf/Pt_hp	4688278067109839630	263939.99837593816
T/reacting/0/eqf/Pt_lp	4681699833963082519	101331.10848994214
T/reacting/0/eqf/Tt2	4643745586963694955	286.3754828060834
T/reacting/0/eqf/Tt25	4645514570985501892	386.9305825157319
T/reacting/0/eqf/Tt3	4648858689195994171	642.0433893496005
T/reacting/0/eqf/Tt4	4653432275910805870	1300.0000000042742
T/reacting/0/eqf/Tt45	4652483237200079276	1084.2135802084622
T/reacting/0/eqf/Tt5	4652003636573160737	999.5825114605578
T/reacting/0/eqf/branch_choked	1	1
T/reacting/0/eqf/eta_hpc	4606096182669315152	0.8794035637514614
T/reacting/0/eqf/eta_hpt	4606461842859638129	0.92
T/reacting/0/eqf/eta_lpc	4606261425406107327	0.8977491928553362
T/reacting/0/eqf/eta_lpt	4606281698874543309	0.9
T/reacting/0/eqf/f	4581131601081783189	0.018993069871573082
T/reacting/0/eqf/m_hp	4606424968580917953	0.9159061326748416
T/reacting/0/eqf/m_imp	4605517687603391918	0.8151777095694592
T/reacting/0/eqf/m_lp	4605517687603414387	0.8151777095719538
T/reacting/0/eqf/mdot4	4605657143612249499	0.8306604367650609
T/reacting/0/eqf/mdot_air	4605517687603391918	0.8151777095694592
T/reacting/0/eqf/mdot_air_face	4605517687603414387	0.8151777095719538
T/reacting/0/eqf/n_hp	4606639458753226023	0.9397193254600652
T/reacting/0/eqf/n_lp	4606273358088252767	0.8990739867016763
T/reacting/0/eqf/nu_hp	4606466504354003259	0.9205175298373328
T/reacting/0/eqf/nu_hpt	4607081488109901505	0.9887944423942018
T/reacting/0/eqf/nu_lp	4606273358088252767	0.8990739867016763
T/reacting/0/eqf/nu_lpt	4606901207641938557	0.9687792897519355
T/reacting/0/eqf/phi_hp	4606954169612736876	0.9746592496929174
T/reacting/0/eqf/phi_lp	4606341920135818907	0.9066859030840136
T/reacting/0/eqf/pi_hpc	4617517322023160186	5.179238012484683
T/reacting/0/eqf/pi_hpt	4601452978454641009	0.43195217051734064
T/reacting/0/eqf/pi_lpc	4613072025137776554	2.61551062486338
T/reacting/0/eqf/pi_lpt	4604367028551976502	0.6874288923319856
T/reacting/0/eqf/pt4	4696944611345385222	1012510.5330602832
T/reacting/0/eqf/slip	4606972595239368190	0.9767049051858405
T/reacting/0/eqf/sp_thrust	4648619445781635658	614.8445621254589
T/reacting/0/eqf/tau_hpc	4610151752302488071	1.6593244844467578
T/reacting/0/eqf/tau_hpt	4605687317815739197	0.8340104463114596
T/reacting/0/eqf/tau_lpc	4608763768939160520	1.3511302668941756
T/reacting/0/eqf/tau_lpt	4606479338785831004	0.9219424380096473
T/reacting/0/eqf/passes	14	14
T/reacting/1/mf	4581257965340778111	0.01943148396477889
T/reacting/1/eqf/M9	4607182418800016769	0.9999999999999291
T/reacting/1/eqf/Pc_hp	4688637006290247550	284833.00847768027
T/reacting/1/eqf/Pc_lp	4682265465281325700	109562.1274835263
T/reacting/1/eqf/Phi_hp	4421353810343698126	3.951208899589467e-13
