# slice R oracle (equil) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
P/flat/1500/eta_lpt	4606281698874543309	0.9
P/flat/1500/f	4582591370642928906	0.024057662926044755
P/flat/1500/m_hp	4607182418799409802	0.9999999999325422
P/flat/1500/m_imp	4607182418799741833	0.999999999969405
P/flat/1500/m_lp	4607182418799741833	0.999999999969405
P/flat/1500/mdot4	4607290764881665445	1.0240576628947136
P/flat/1500/mdot_air	4607182418799741832	0.9999999999694049
P/flat/1500/n_hp	4607182418799806015	0.9999999999765307
P/flat/1500/n_lp	4607182418800032498	1.0000000000033507
P/flat/1500/nu_hp	4607182418799814762	0.9999999999775018
P/flat/1500/nu_hpt	4607182418799814762	0.9999999999775018
P/flat/1500/nu_lp	4607182418800032498	1.0000000000033507
P/flat/1500/nu_lpt	4607182418800006374	0.999999999998775
P/flat/1500/phi_hp	4607182418799621195	0.9999999999560115
P/flat/1500/phi_lp	4607182418799711653	0.9999999999660544
P/flat/1500/pi_hpc	4618441417867984021	5.999999999591769
P/flat/1500/pi_hpt	4601480128964521705	0.4334593265773337
P/flat/1500/pi_lpc	4613937818241328736	3.000000000113502
P/flat/1500/pi_lpt	4604378127517645238	0.688661125055481
P/flat/1500/pt4	4698529237748037059	1345394.6514009095
P/flat/1500/slip	4607182418800133821	1.0000000000258489
P/flat/1500/sp_thrust	4649627730615397812	729.4732763985435
P/flat/1500/tau_hpc	4610462024585205348	1.7282187708819032
P/flat/1500/tau_hpt	4605734372676205380	0.8392345852624676
P/flat/1500/tau_lpc	4609020278146069322	1.4080867524018736
P/flat/1500/tau_lpt	4606503978674089590	0.9246780151365346
P/flat/1500/exit_noise	0	0
P/flat/1500/passes	4	4
P/flat/1500/powers_calls	13	13
P/flat/1450/M9	4607182418800017464	1.0000000000000124
P/flat/1450/Pc_hp	4688817253099990075	295324.75365990744
P/flat/1450/Pc_lp	4682550585914382600	113711.1787656286
P/flat/1450/Phi_hp	4449397662952795003	2.8590820507247954e-11
P/flat/1450/Phi_lp	13661702501946226579	-5.483651504479516e-12
P/flat/1450/Pt_hp	4688817253100145337	295324.7536689449
P/flat/1450/Pt_lp	4682550585914336746	113711.17876496134
P/flat/1450/Tt2	4643745586963694955	286.3754828060834
P/flat/1450/Tt25	4645729239858703105	399.1330951914861
P/flat/1450/Tt3	4649220395693966414	683.1646572874249
P/flat/1450/Tt4	4654091982887452672	1450.0
P/flat/1450/Tt45	4653058858881804995	1215.0947976472532
P/flat/1450/Tt5	4652652902746018089	1122.7910589846526
P/flat/1450/branch_choked	1	1
P/flat/1450/eta_hpc	4606101554889448489	0.88
P/flat/1450/eta_hpt	4606461842859638129	0.92
P/flat/1450/eta_lpc	4606281698874543309	0.9
P/flat/1450/eta_lpt	4606281698874543309	0.9
P/flat/1450/f	4582218146470033012	0.022762781456995687
P/flat/1450/m_hp	4606993748929157079	0.9790534365317808
P/flat/1450/m_imp	4606746495451349416	0.9516027861337095
P/flat/1450/m_lp	4606746495451349416	0.9516027861337095
P/flat/1450/mdot4	4606941601531606968	0.9732639123883393
P/flat/1450/mdot_air	4606746495451349415	0.9516027861337094
P/flat/1450/n_hp	4607079180906304892	0.988538291338656
P/flat/1450/n_lp	4607022678169291836	0.9822652273800325
P/flat/1450/nu_hp	4607033705750475815	0.9834895348336702
P/flat/1450/nu_hpt	4607183781317452503	1.0003025396455791
P/flat/1450/nu_lp	4607022678169291836	0.9822652273800325
P/flat/1450/nu_lpt	4607180573255463371	0.9997951033943137
