cb/cpg/flow_press/1300/0.30/hp/m_phi/resid_last	-0x1.393215eb1d2c4p-4
cb/cpg/flow_press/1500/0.05/lp/phi/feasible	0x1.1800000000000p+5
cb/cpg/flow_press/1500/0.05/lp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1500/0.05/lp/phi/goal	0x1.000000000001bp+0
cb/cpg/flow_press/1500/0.05/lp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1500/0.05/lp/phi/b_star	0x1.6ca1756e147b0p-5
cb/cpg/flow_press/1500/0.05/lp/phi/goal	0x1.000000000001bp+0
cb/cpg/flow_press/1500/0.05/lp/phi/resid	-0x1.8180000000000p-41
cb/cpg/flow_press/1500/0.05/lp/phi/bare_phi	0x1.000000000001bp+0
cb/cpg/flow_press/1500/0.05/lp/phi/bare_m_phi	0x1.ccccccccccd38p-2
cb/cpg/flow_press/1500/0.05/lp/phi/bare_m_i	0x1.a2e8ba2e8ba64p-1
cb/cpg/flow_press/1500/0.05/lp/m_phi/feasible	0x1.1000000000000p+5
cb/cpg/flow_press/1500/0.05/lp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1500/0.05/lp/m_phi/goal	0x1.ccccccccccd38p-2
cb/cpg/flow_press/1500/0.05/lp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1500/0.05/lp/m_phi/b_star	0x1.86103b6b851ebp-6
cb/cpg/flow_press/1500/0.05/lp/m_phi/goal	0x1.ccccccccccd38p-2
cb/cpg/flow_press/1500/0.05/lp/m_phi/resid	-0x1.0a20000000000p-40
cb/cpg/flow_press/1500/0.05/lp/m_phi/bare_phi	0x1.000000000001bp+0
cb/cpg/flow_press/1500/0.05/lp/m_phi/bare_m_phi	0x1.ccccccccccd38p-2
cb/cpg/flow_press/1500/0.05/lp/m_phi/bare_m_i	0x1.a2e8ba2e8ba64p-1
cb/cpg/flow_press/1500/0.05/hp/phi/feasible	0x1.9000000000000p+5
cb/cpg/flow_press/1500/0.05/hp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1500/0.05/hp/phi/goal	0x1.0000000000002p+0
cb/cpg/flow_press/1500/0.05/hp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1500/0.05/hp/phi/b_star	0x1.9c5116cf5c290p-2
cb/cpg/flow_press/1500/0.05/hp/phi/goal	0x1.0000000000002p+0
cb/cpg/flow_press/1500/0.05/hp/phi/resid	-0x1.51e0000000000p-41
cb/cpg/flow_press/1500/0.05/hp/phi/bare_phi	0x1.0000000000002p+0
cb/cpg/flow_press/1500/0.05/hp/phi/bare_m_phi	0x1.cccccccccccd4p-2
cb/cpg/flow_press/1500/0.05/hp/phi/bare_m_i	0x1.a2e8ba2e8ba32p-1
cb/cpg/flow_press/1500/0.05/hp/m_phi/feasible	0x1.4800000000000p+5
cb/cpg/flow_press/1500/0.05/hp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1500/0.05/hp/m_phi/goal	0x1.cccccccccccd4p-2
cb/cpg/flow_press/1500/0.05/hp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1500/0.05/hp/m_phi/b_star	0x1.e44d20e666667p-3
cb/cpg/flow_press/1500/0.05/hp/m_phi/goal	0x1.cccccccccccd4p-2
cb/cpg/flow_press/1500/0.05/hp/m_phi/resid	-0x1.3780000000000p-40
cb/cpg/flow_press/1500/0.05/hp/m_phi/bare_phi	0x1.0000000000002p+0
cb/cpg/flow_press/1500/0.05/hp/m_phi/bare_m_phi	0x1.cccccccccccd4p-2
cb/cpg/flow_press/1500/0.05/hp/m_phi/bare_m_i	0x1.a2e8ba2e8ba32p-1
cb/cpg/flow_press/1500/0.10/lp/phi/feasible	0x1.1800000000000p+5
cb/cpg/flow_press/1500/0.10/lp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1500/0.10/lp/phi/goal	0x1.000000000001bp+0
cb/cpg/flow_press/1500/0.10/lp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1500/0.10/lp/phi/b_star	0x1.71766c7ffffffp-4
cb/cpg/flow_press/1500/0.10/lp/phi/goal	0x1.000000000001bp+0
cb/cpg/flow_press/1500/0.10/lp/phi/resid	0x1.86e0000000000p-40
cb/cpg/flow_press/1500/0.10/lp/phi/bare_phi	0x1.000000000001bp+0
