# phase-2 cycle oracle — key	u64 bits	repr
# cpython 3.14.3
r4_forkA_fb/eta_propulsive	4603588381207827044	0.6009816713781899
r4_forkA_fb/eta_overall	4600232958168504087	0.3642274399083915
r5_forkb/st0/Tt	4645582630261764678	390.7993044637009
r5_forkb/st0/pt	4684299337516103233	147245.727658676
r5_forkb/st0/mdot	4632233691727265792	50.0
r5_forkb/st0/far	0	0.0
r5_forkb/st2/Tt	4645582630261764678	390.7993044637009
r5_forkb/st2/pt	4684046371282195338	139883.4412757422
r5_forkb/st2/mdot	4632233691727265792	50.0
r5_forkb/st2/far	0	0.0
r5_forkb/st3/Tt	4650022958462067947	774.4054804659949
r5_forkb/st3/pt	4698758759775369324	1398834.4127574218
r5_forkb/st3/mdot	4632233691727265792	50.0
r5_forkb/st3/far	0	0.0
r5_forkb/st4/Tt	4655631299166339072	1800.0
r5_forkb/st4/pt	4698458362372603699	1328892.6921195507
r5_forkb/st4/mdot	4632464043829338189	51.63675012794611
r5_forkb/st4/far	4584878432086237131	0.03273500255892222
r5_forkb/st5/Tt	4654303890211980652	1498.1821472312686
r5_forkb/st5/pt	4692706281896012954	521696.0231015176
r5_forkb/st5/mdot	4632464043829338189	51.63675012794611
r5_forkb/st5/far	4584878432086237131	0.03273500255892222
r5_forkb/st9/Tt	4654303890211980652	1498.1821472312686
r5_forkb/st9/pt	4692437401813092040	506045.142408472
r5_forkb/st9/mdot	4632464043829338189	51.63675012794611
r5_forkb/st9/far	4584878432086237131	0.03273500255892222
r5_forkb/V0	4648412827703214617	591.3548061736539
r5_forkb/V9	4653908134028997337	1408.197609326968
r5_forkb/M9	4613355181410036769	2.7412572700755082
r5_forkb/T9	4649213933010509376	682.4299352419985
r5_forkb/p9	4670883174711033856	18750.0
r5_forkb/F	4650801717699341303	862.9401554981004
r5_forkb/tsfc	4540722934532360741	3.793426734212774e-05
r5_forkb/eta_brayton	4602595155067793402	0.495355709222849
r5_forkb/eta_thermal	4603634070091875866	0.606054156482233
r5_forkb/eta_propulsive	4603588381207827044	0.6009816713781899
r5_forkb/eta_overall	4600232958168504087	0.3642274399083915
r5_lean_fuel/st0/Tt	4645582630261764678	390.7993044637009
r5_lean_fuel/st0/pt	4684299337516103233	147245.727658676
r5_lean_fuel/st0/mdot	4632233691727265792	50.0
r5_lean_fuel/st0/far	0	0.0
r5_lean_fuel/st2/Tt	4645582630261764678	390.7993044637009
r5_lean_fuel/st2/pt	4684046371282195338	139883.4412757422
r5_lean_fuel/st2/mdot	4632233691727265792	50.0
r5_lean_fuel/st2/far	0	0.0
r5_lean_fuel/st3/Tt	4650022958462067947	774.4054804659949
r5_lean_fuel/st3/pt	4698758759775369324	1398834.4127574218
r5_lean_fuel/st3/mdot	4632233691727265792	50.0
r5_lean_fuel/st3/far	0	0.0
