# phase-5J component-map matcher oracle — key	u64 bits	repr
# pypy 3.11.15
map/tilt/eta_c/8/1	4605917808024651773	0.8596
map/tilt/eta_c/8/2	4606012383616826553	0.8701
map/tilt/eta_c/8/3	4606008168247575334	0.869632
map/tilt/eta_c/8/4	4606004277137497286	0.8692
map/tilt/eta_c/8/5	4605999521336290782	0.8686719999999999
map/tilt/eta_c/8/6	4605947531782192417	0.8628999999999999
map/tilt/eta_c/8/7	4605485462460424205	0.8116
map/tilt/eta_c/9/0	4605150394648147841	0.7744000000000001
map/tilt/eta_c/9/1	4605312524234733179	0.7924000000000001
map/tilt/eta_c/9/2	4605299013435851067	0.7909
map/tilt/eta_c/9/3	4605238593143250264	0.784192
map/tilt/eta_c/9/4	4605226055121887665	0.7828
map/tilt/eta_c/9/5	4605212652409396610	0.781312
map/tilt/eta_c/9/6	4605104457931948661	0.7693
map/tilt/eta_c/9/7	4604447833106278043	0.6964
map/tilt/eta_t/0	4606216847039909174	0.8928
map/tilt/eta_t/1	4606270439875474883	0.89875
map/tilt/eta_t/2	4606281248514580572	0.89995
map/tilt/eta_t/3	4606281698874543309	0.9
map/tilt/eta_t/4	4606281248514580572	0.89995
map/tilt/eta_t/5	4606252875836928138	0.8968
map/gate5/psi/0	4605453036543107137	0.8079999999999999
map/gate5/psi/1	4606635231445291893	0.93925
map/gate5/psi/2	4607074332408960516	0.988
map/gate5/psi/3	4607175663400576352	0.99925
map/gate5/psi/4	4607182416097857632	0.9999997
map/gate5/psi/5	4607182418800017408	1.0
map/gate5/psi/6	4607182416097857632	0.9999997
map/gate5/psi/7	4607175663400576352	0.99925
map/gate5/psi/8	4606939224420139401	0.973
map/gate5/psi/9	4604993669381115348	0.7570000000000001
map/gate5/eta_c/0/0	4604439726626948776	0.6955
map/gate5/eta_c/0/1	4604588345414652002	0.712
map/gate5/eta_c/0/2	4604650269909528346	0.7188749999999999
map/gate5/eta_c/0/3	4604660222864704835	0.71998
map/gate5/eta_c/0/4	4604660403008689930	0.72
map/gate5/eta_c/0/5	4604660222864704835	0.71998
map/gate5/eta_c/0/6	4604650269909528346	0.7188749999999999
map/gate5/eta_c/0/7	4604498273422104592	0.702
map/gate5/eta_c/1/0	4605424889045436072	0.804875
map/gate5/eta_c/1/1	4605573507833139298	0.821375
map/gate5/eta_c/1/2	4605635432328015642	0.8282499999999999
map/gate5/eta_c/1/3	4605645385283192131	0.829355
map/gate5/eta_c/1/4	4605645565427177226	0.829375
map/gate5/eta_c/1/5	4605645385283192131	0.829355
map/gate5/eta_c/1/6	4605635432328015642	0.8282499999999999
map/gate5/eta_c/1/7	4605483435840591888	0.811375
map/gate5/eta_c/2/0	4605790806515159925	0.8455
map/gate5/eta_c/2/1	4605939425302863151	0.862
map/gate5/eta_c/2/2	4606001349797739495	0.868875
map/gate5/eta_c/2/3	4606011302752915984	0.86998
map/gate5/eta_c/2/4	4606011482896901079	0.87
map/gate5/eta_c/2/5	4606011302752915984	0.86998
map/gate5/eta_c/2/6	4606001349797739495	0.868875
map/gate5/eta_c/2/7	4605849353310315741	0.852
map/gate5/eta_c/3/0	4605875249008173122	0.854875
map/gate5/eta_c/3/1	4606023867795876348	0.871375
map/gate5/eta_c/3/2	4606085792290752692	0.87825
map/gate5/eta_c/3/3	4606095745245929181	0.879355
map/gate5/eta_c/3/4	4606095925389914276	0.879375
map/gate5/eta_c/3/5	4606095745245929181	0.879355
map/gate5/eta_c/3/6	4606085792290752692	0.87825
map/gate5/eta_c/3/7	4605933795803328938	0.861375
map/gate5/eta_c/4/0	4605880876255907521	0.85549975
map/gate5/eta_c/4/1	4606029495043610747	0.87199975
map/gate5/eta_c/4/2	4606091419538487091	0.8788747499999999
map/gate5/eta_c/4/3	4606101372493663580	0.87997975
map/gate5/eta_c/4/4	4606101552637648675	0.87999975
map/gate5/eta_c/4/5	4606101372493663580	0.87997975
map/gate5/eta_c/4/6	4606091419538487091	0.8788747499999999
map/gate5/eta_c/4/7	4605939423051063337	0.86199975
map/gate5/eta_c/5/0	4605880878507707335	0.8555
map/gate5/eta_c/5/1	4606029497295410561	0.872
map/gate5/eta_c/5/2	4606091421790286905	0.878875
map/gate5/eta_c/5/3	4606101374745463394	0.87998
map/gate5/eta_c/5/4	4606101554889448489	0.88
map/gate5/eta_c/5/5	4606101374745463394	0.87998
map/gate5/eta_c/5/6	4606091421790286905	0.878875
map/gate5/eta_c/5/7	4605939425302863151	0.862
map/gate5/eta_c/6/0	4605880876255907521	0.85549975
map/gate5/eta_c/6/1	4606029495043610747	0.87199975
map/gate5/eta_c/6/2	4606091419538487091	0.8788747499999999
map/gate5/eta_c/6/3	4606101372493663580	0.87997975
map/gate5/eta_c/6/4	4606101552637648675	0.87999975
map/gate5/eta_c/6/5	4606101372493663580	0.87997975
