# phase-6P spool-transient oracle — key	u64 bits (or an integer)	repr
# pypy 3.11.15
eq/press_dom/1300/p_net_spec	4449556431842050048	2.9103830456733704e-11
eq/press_dom/1300/m	4605820409451884382	0.8487865861948014
eq/press_dom/1300/thrust	4647910310819084278	534.2252507151559
eq/press_dom/1300/Tt2	4643745586963694955	286.3754828060834
eq/press_dom/1300/pt2	4680086807681088516	77858.48677323764
eq/press_dom/1300/V0	4643453651052699634	269.7808475368648
eq/press_dom/1100/branch	0	0
eq/press_dom/1100/nu	4605911871392757527	0.8589409014582284
eq/press_dom/1100/n	4605911871392757527	0.8589409014582284
eq/press_dom/1100/pi_c	4618488136879984356	6.041494817840178
eq/press_dom/1100/tau_c	4610601486211546286	1.7591854726049792
eq/press_dom/1100/mdot_air	4604630537592105392	0.7166842726867824
eq/press_dom/1100/f	4580500894189967176	0.016804865768185878
eq/press_dom/1100/pi_t	4601348491895563130	0.42615200133473474
eq/press_dom/1100/tau_t	4605684308734408642	0.8336763711738444
eq/press_dom/1100/Tt3	4647570341185269675	503.78758906269894
eq/press_dom/1100/Tt5	4651277620221369509	917.0440082912288
eq/press_dom/1100/flowcoef	4605690658658572510	0.8343813543749794
eq/press_dom/1100/Phi	0	0.0
eq/press_dom/1100/sp_thrust	4647526784444616384	501.31167500953234
eq/press_dom/1100/M9	4607182418800017425	1.0000000000000038
eq/press_dom/1100/pt9_over_p0	4615675631130763841	3.771743953049992
eq/press_dom/1100/eta_c	4606053357270352781	0.8746489893547832
eq/press_dom/1100/eta_t	4606281697224066580	0.8999998167602734
eq/press_dom/1100/nu_t	4607196050643603918	1.0030268773235664
eq/press_dom/1100/p_net_spec	0	0.0
eq/press_dom/1100/m	4604630537592105392	0.7166842726867824
eq/press_dom/1100/thrust	4645028175376718491	359.2821931935993
eq/press_dom/1100/Tt2	4643745586963694955	286.3754828060834
eq/press_dom/1100/pt2	4680086807681088516	77858.48677323764
eq/press_dom/1100/V0	4643453651052699634	269.7808475368648
eq/press_dom/900/branch	0	0
eq/press_dom/900/nu	4605193084673547350	0.7791395449120369
eq/press_dom/900/n	4605193084673547350	0.7791395449120369
eq/press_dom/900/pi_c	4616820743451515264	4.560551957524126
eq/press_dom/900/tau_c	4609975880614372434	1.620273124941623
eq/press_dom/900/mdot_air	4603612776175273398	0.6036900568325823
eq/press_dom/900/f	4578022465789349390	0.011915544954013615
eq/press_dom/900/pi_t	4601315705892286549	0.42433201254857994
eq/press_dom/900/tau_t	4605622998911880740	0.8268696135132285
eq/press_dom/900/Tt3	4646870504837860105	464.0064984328788
eq/press_dom/900/Tt5	4649757115652910958	744.1826521619057
eq/press_dom/900/flowcoef	4605154144778253610	0.7748163480788766
eq/press_dom/900/Phi	13597889221092679819	-2.970823391436708e-16
eq/press_dom/900/sp_thrust	4645027114561046847	359.22189280404194
eq/press_dom/900/M9	4607182418800017529	1.0000000000000269
eq/press_dom/900/pt9_over_p0	4613566321322242994	2.8350222268549823
eq/press_dom/900/eta_c	4605990845133783774	0.8677087480210408
eq/press_dom/900/eta_t	4606281692678274962	0.8999993120760215
eq/press_dom/900/nu_t	4607208831633934096	1.0058648272719815
eq/press_dom/900/p_net_spec	13681935667951566848	-1.1641532182693481e-10
eq/press_dom/900/m	4603612776175273398	0.6036900568325823
eq/press_dom/900/thrust	4641834053223836804	216.85868488237986
eq/press_dom/900/Tt2	4643745586963694955	286.3754828060834
eq/press_dom/900/pt2	4680086807681088516	77858.48677323764
eq/press_dom/900/V0	4643453651052699634	269.7808475368648
eq/press_dom/700/branch	0	0
eq/press_dom/700/nu	4604370838517367999	0.6878518834620521
eq/press_dom/700/n	4604370838517367999	0.6878518834620521
eq/press_dom/700/pi_c	4614764192137285642	3.3669837306097223
eq/press_dom/700/tau_c	4609349144352191692	1.4811097192135092
eq/press_dom/700/mdot_air	4602772792333724006	0.5104331167124598
eq/press_dom/700/f	4575092920087896031	0.007323046625877765
eq/press_dom/700/pi_t	4601286441333233645	0.4227075031852781
