# phase-3B finite-quench oracle — key	u64 bits	repr
# cpython 3.14.3
traj/dp1/0.8/27/cO	4545884107836427097	8.478031979479213e-05
traj/dp1/0.8/27/cN2	4631248328146283058	42.99857065450159
traj/dp1/0.8/27/cH	4513483550024213306	5.696638587733394e-07
traj/dp1/0.8/27/cNOe	4590449004657825824	0.08027722923438363
traj/dp1/0.8/27/ntot_local	4607319517639800667	1.030442057715354
traj/dp1/0.8/27/V	4580485796673097551	0.01675248573430049
traj/dp1/0.8/28/a	4606621728106034286	0.937750828184688
traj/dp1/0.8/28/T	4654621743280924672	1570.4535677679814
traj/dp1/0.8/28/cO	4544954732112995667	7.218493006479658e-05
traj/dp1/0.8/28/cN2	4631306679557031118	43.41318236478547
traj/dp1/0.8/28/cH	4512017758613156391	4.4565215730275855e-07
traj/dp1/0.8/28/cNOe	4590184317043821821	0.07660395069187938
traj/dp1/0.8/28/ntot_local	4607317234309855121	1.0299350566196817
traj/dp1/0.8/28/V	4580520387917054038	0.016872498220209607
traj/dp1/0.8/29/a	4606761900779530066	0.953313121138516
traj/dp1/0.8/29/T	4654560380761884672	1556.5013462794013
traj/dp1/0.8/29/cO	4544170140227975803	6.155172723663366e-05
traj/dp1/0.8/29/cN2	4631364383106964266	43.823190747111155
traj/dp1/0.8/29/cH	4510203703633757558	3.4961688632266276e-07
traj/dp1/0.8/29/cNOe	4589932819561067874	0.07311372199202062
traj/dp1/0.8/29/ntot_local	4607315026431319915	1.0294448091026094
traj/dp1/0.8/29/V	4580554839100820116	0.01699202477471802
traj/dp1/0.8/30/a	4606902073453025847	0.968875414092344
traj/dp1/0.8/30/T	4654500748293404672	1542.942492745351
traj/dp1/0.8/30/cO	4542881634559090686	5.2562187709159755e-05
traj/dp1/0.8/30/cN2	4631421449631134455	44.228672789153215
traj/dp1/0.8/30/cH	4508794858420187666	2.750332417304615e-07
traj/dp1/0.8/30/cNOe	4589693884723235435	0.06979783501268748
traj/dp1/0.8/30/ntot_local	4607312890257459952	1.0289704832218227
traj/dp1/0.8/30/V	4580589156291729507	0.017111086448118217
traj/dp1/0.8/31/a	4607042246126521628	0.9844377070461721
traj/dp1/0.8/31/T	4654442773947164672	1529.7606525593437
traj/dp1/0.8/31/cO	4541758472123971272	4.495134300784364e-05
traj/dp1/0.8/31/cN2	4631477889792812372	44.62970425800691
traj/dp1/0.8/31/cH	4507292028162432820	2.1694632471447991e-07
traj/dp1/0.8/31/cNOe	4589466901984407366	0.06664781672719497
traj/dp1/0.8/31/ntot_local	4607310822293495720	1.0285113029803856
traj/dp1/0.8/31/V	4580623345152392011	0.01722970288653451
traj/dp1/0.8/32/a	4607182418800017408	1.0
traj/dp1/0.8/32/T	4654386389652764672	1516.9403483043425
traj/dp1/0.8/32/cO	4540806202490919771	3.849851297692857e-05
traj/dp1/0.8/32/cN2	4631533714058535506	45.026359522894055
traj/dp1/0.8/32/cH	4505578220036439397	1.7158220133983684e-07
traj/dp1/0.8/32/cNOe	4589251280220205767	0.06365546363685858
