# phase-4F recombination-march oracle — key	u64 bits	repr
# cpython 3.14.3
fr100/dp/da1/T9	4650351667312794930	811.7753502362523
fr100/dp/da1/V9	4652288474819008566	1039.9297417863395
fr100/dp/da1/dS	4554448233392766976	0.0003151022058602848
fr100/dp/da1/comp/CO2	4588247587273703235	0.056113212950548184
fr100/dp/da1/comp/H2O	4588246727941564249	0.05610725013600754
fr100/dp/da1/comp/CO	4502601338822384718	1.0599705062707944e-07
fr100/dp/da1/comp/H2	4496289599674881199	4.103326166677995e-08
fr100/dp/da1/comp/OH	4533233497189283719	1.2054755526066041e-05
fr100/dp/da1/comp/O	4506517891951237995	1.9645510982246022e-07
fr100/dp/da1/comp/H	4470815315414398514	8.011331800228699e-10
fr100/dp/da1/comp/O2	4593686421157004948	0.12541081691101807
fr100/dp/da1/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da1/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da3/T9	4650351969872761088	811.8097473220259
fr100/dp/da3/V9	4652288559619206985	1039.9490231191323
fr100/dp/da3/dS	4555828636130213888	0.0003899339882025288
fr100/dp/da3/comp/CO2	4588247600469115167	0.0561133045121116
fr100/dp/da3/comp/H2O	4588247476626797730	0.05611244518341009
fr100/dp/da3/comp/CO	4489807345856452475	1.4435487242038495e-08
fr100/dp/da3/comp/H2	4483372355267197620	5.620134462088362e-09
fr100/dp/da3/comp/OH	4520805702258531515	1.736179447960232e-06
fr100/dp/da3/comp/O	4493709446314846693	2.688078067990125e-08
fr100/dp/da3/comp/H	4457963637562910024	1.0866058715687927e-10
fr100/dp/da3/comp/O2	4593686514859645336	0.12541341768173875
fr100/dp/da3/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da3/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da10/T9	4650351949589454300	811.8074413770187
fr100/dp/da10/V9	4652288612819363454	1039.9611194342428
fr100/dp/da10/dS	4539719557970919424	3.113512329377954e-05
fr100/dp/da10/comp/CO2	4588247602547417759	0.056113318933232785
fr100/dp/da10/comp/H2O	4588247601937949305	0.056113314704195845
fr100/dp/da10/comp/CO	4444937777441588295	1.436603421726768e-11
fr100/dp/da10/comp/H2	4439424947533666482	6.367767380437061e-12
fr100/dp/da10/comp/OH	4486203829265294227	8.473969119599939e-09
fr100/dp/da10/comp/O	4449646544659529534	2.9686170890808394e-11
fr100/dp/da10/comp/H	4412547656725382155	1.013177751735923e-13
fr100/dp/da10/comp/O2	4593686530543244884	0.12541385298907193
fr100/dp/da10/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da10/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da30/T9	4650351923681537948	811.8044959879367
fr100/dp/da30/V9	4652288627261438164	1039.9644031818507
fr100/dp/da30/dS	13769928605903618048	-9.38938686374513e-05
fr100/dp/da30/comp/CO2	4588247602549486142	0.056113318947585075
fr100/dp/da30/comp/H2O	4588247602430296095	0.056113318120537985
fr100/dp/da30/comp/CO	4399723181494688245	1.3747549690562758e-14
fr100/dp/da30/comp/H2	4407091851066657141	4.464962269198629e-14
fr100/dp/da30/comp/OH	4475569240161094005	1.6540323814309046e-09
fr100/dp/da30/comp/O	4415340938141970938	1.594610488440408e-13
fr100/dp/da30/comp/H	4346044254992745830	3.5238464457738625e-18
fr100/dp/da30/comp/O2	4593686530604831953	0.12541385469845648
fr100/dp/da30/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da30/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da300/T9	4650351913201979927	811.8033046001245
fr100/dp/da300/V9	4652288633049818936	1039.9657193072617
fr100/dp/da300/dS	13772818392967806976	-0.0001440452601002562
fr100/dp/da300/comp/CO2	4588247602549487217	0.056113318947592535
fr100/dp/da300/comp/H2O	4588247602466534381	0.056113318371991606
fr100/dp/da300/comp/CO	4394471844840259770	6.283914337249154e-15
fr100/dp/da300/comp/H2	4403068494821228342	2.3840192262012854e-14
fr100/dp/da300/comp/OH	4473137531247492274	1.1511667642549702e-09
fr100/dp/da300/comp/O	4411123669382592101	8.334452806548629e-14
fr100/dp/da300/comp/H	4338732904618031038	1.2075702253632672e-18
fr100/dp/da300/comp/O2	4593686530609362225	0.12541385482419679
fr100/dp/da300/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da300/comp/Ar	4576516852069590693	0.009303721488595438
fr100/warm/da003/T9	4651997551588769199	998.8907288274985
fr100/warm/da003/V9	4653030470957145031	1208.6401308791117
fr100/warm/da003/dS	13778994770318196736	-0.00037877198226965447
fr100/warm/da003/comp/CO2	4590297628678231373	0.07817646551037179
fr100/warm/da003/comp/H2O	4590287827565688213	0.0780404477502173
fr100/warm/da003/comp/CO	4536274822868600553	1.9155134204479783e-05
fr100/warm/da003/comp/H2	4527526525141880715	5.008081675448346e-06
fr100/warm/da003/comp/OH	4554170296290846436	0.0003000352053744561
fr100/warm/da003/comp/O	4534003380797091117	1.335898908879379e-05
fr100/warm/da003/comp/H	4509161063783732177	2.944199922544265e-07
fr100/warm/da003/comp/O2	4591309634638238847	0.09222086948359907
fr100/warm/da003/comp/N2	4605210854977551093	0.7811124449779913
fr100/warm/da003/comp/Ar	4576516852069590693	0.009303721488595438
fr100/warm/da03/T9	4652000195448925698	999.191300928069
fr100/warm/da03/V9	4653030782903638098	1208.711059299782
fr100/warm/da03/dS	4568131486394679296	0.0025956076994191335
fr100/warm/da03/comp/CO2	4590297951827591341	0.07818095010861965
fr100/warm/da03/comp/H2O	4590290358919644303	0.07807557734328639
fr100/warm/da03/comp/CO	4534777581418277220	1.467053595665254e-05
fr100/warm/da03/comp/H2	4526149426564754492	3.8416338090054175e-06
fr100/warm/da03/comp/OH	4552697888064353181	0.00023217821023849015
fr100/warm/da03/comp/O	4532165130540255622	1.0244872023117102e-05
fr100/warm/da03/comp/H	4507600999319471887	2.251247231445853e-07
fr100/warm/da03/comp/O2	4591310764390376545	0.09223654794404147
fr100/warm/da03/comp/N2	4605210854977551093	0.7811124449779913
fr100/warm/da03/comp/Ar	4576516852069590693	0.009303721488595438
fr100/warm/da1/T9	4652004397087411598	999.6689719207805
fr100/warm/da1/V9	4653031375017974372	1208.8456905127032
fr100/warm/da1/dS	4574021997449543680	0.006394169305025343
fr100/warm/da1/comp/CO2	4590298479039009569	0.07818826663681168
fr100/warm/da1/comp/H2O	4590294537773157134	0.0781335705856174
fr100/warm/da1/comp/CO	4530296105825417159	7.3540077644827995e-06
fr100/warm/da1/comp/H2	4521678732215166097	1.934752831712706e-06
fr100/warm/da1/comp/OH	4548491590231998396	0.0001201182957697435
fr100/warm/da1/comp/O	4527700735616429515	5.155643687147986e-06
fr100/warm/da1/comp/H	4503078821738953293	1.1231648440965225e-07
