# slice R oracle (cpython) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
G/r44/53/pi_hpc	4617318177471193714	5.002362119027213
G/r44/53/phi_lp	4605441315673814352	0.8066987221042528
G/r44/53/phi_hp	4606565060686587696	0.9314594808031185
G/r44/53/mdot_air	4604816578203109119	0.7373389296719494
G/r44/53/f	4583406674995057281	0.026886318125451062
G/r44/53/Phi_lp	4590281495997338863	0.07795257958817435
G/r44/53/Phi_hp	4590593831746142477	0.08228710883486574
G/r44/53/sp_thrust	4648949382963349675	652.3540769613077
G/r44/54/s	4607542706770207050	1.0800000000000005
G/r44/54/nu_lp	4606421840746373549	0.915558873282
G/r44/54/nu_hp	4606146680394878501	0.8850099375126247
G/r44/54/Tt4	4653872080561897472	1400.0
G/r44/54/slip	4607337874880131267	1.0345181838920758
G/r44/54/pi_lpc	4612962416837463734	2.5668347613844515
G/r44/54/pi_hpc	4617330975810252691	5.013729327587401
G/r44/54/phi_lp	4605465974257632956	0.8094363748552591
G/r44/54/phi_hp	4606576046523071481	0.932679153664025
G/r44/54/mdot_air	4604850334715097001	0.7410866553559475
G/r44/54/f	4583399662156730752	0.026861987454894543
G/r44/54/Phi_lp	4590135075567557136	0.07592058793293455
G/r44/54/Phi_hp	4590482718560655535	0.08074510362402763
G/r44/54/sp_thrust	4648956024010618039	653.1090766244077
G/r44/55/s	4607632778762754460	1.1000000000000005
G/r44/55/nu_lp	4606435337123914006	0.917057272191445
G/r44/55/nu_hp	4606161088583935003	0.8866095678359928
G/r44/55/Tt4	4653872080561897472	1400.0
G/r44/55/slip	4607337080192093505	1.0343417277006923
G/r44/55/pi_lpc	4612978079360960460	2.5737903190683706
G/r44/55/pi_hpc	4617343559256212388	5.024905672734267
G/r44/55/phi_lp	4605490225084965523	0.8121287575423416
G/r44/55/phi_hp	4606586815900186074	0.9338747947073742
G/r44/55/mdot_air	4604883498571569018	0.7447685830600073
G/r44/55/f	4583392796069482692	0.026838165929419913
G/r44/55/Phi_lp	4589991311528218983	0.07392546110060537
G/r44/55/Phi_hp	4590372890092022241	0.07922092744107757
G/r44/55/sp_thrust	4648962481933693181	653.8432574770701
G/r44/56/s	4607722850755301870	1.1200000000000006
G/r44/56/nu_lp	4606448477422519895	0.9185161383977157
G/r44/56/nu_hp	4606175223831425614	0.8881788955582779
