# phase-3E nozzle-strand oracle — key	u64 bits	repr
# cpython 3.14.3
r17/J25/collapse	4638131543132385083	119.81350945000024
r17/J25/x_no_mixed	4495143006116862339	3.344574197340878e-08
r17/J25/x_no_bulk	4536717629521169068	2.0655421500435464e-05
r17/J25/x_no_pocket	4542956210458293060	5.306753365872397e-05
r17/J25/a_mixed	4580215900685137215	0.015816095921526992
r17/J25/a_bulk	4621688346904805561	9.767704600788749
r17/J25/a_pocket	4627756834813445300	25.095009204237343
r17/J25/ei_bulk	4605466836674873035	0.809532122402936
r17/J25/ei_pocket	4611865791364494476	2.0798352215920826
r17/J25/gap	4612967701971456489	2.569181832363246
r17/J25/max_a_quench	4603433947817014124	0.583836120753046
r17/J25/hides	4607182418800017408	1.0
r17/J25/monotone	4607182418800017408	1.0
r17/J4000/T9	4650351087250212771	811.709404755606
r17/J4000/x_no_e_exit	4522103537437364491	2.114664841396568e-06
r17/J4000/collapse	4638131543132385083	119.81350945000024
r17/J4000/x_no_mixed	4495143006116862339	3.344574197340878e-08
r17/J4000/x_no_bulk	4520481795308381725	1.66758948330485e-06
r17/J4000/x_no_pocket	4538623900305729165	2.711411814407829e-05
r17/J4000/a_mixed	4580215900685137215	0.015816095921526992
r17/J4000/a_bulk	4605278146901517720	0.7885833493138987
r17/J4000/a_pocket	4623407731888905393	12.821945876856576
r17/J4000/ei_bulk	4589373856988671806	0.06535655801979787
r17/J4000/ei_pocket	4607464627303192678	1.0626628755940373
r17/J4000/gap	4625269851109925121	16.259468181787273
r17/J4000/max_a_quench	4606165598898390414	0.8871103133316625
r17/J4000/hides	0	0.0
r17/J4000/monotone	4607182418800017408	1.0
r17/J16000/T9	4650351087250212771	811.709404755606
r17/J16000/x_no_e_exit	4522103537437364491	2.114664841396568e-06
r17/J16000/collapse	4638131543132385083	119.81350945000024
r17/J16000/x_no_mixed	4495143006116862339	3.344574197340878e-08
r17/J16000/x_no_bulk	4516136912886247291	8.505995794188084e-07
r17/J16000/x_no_pocket	4539572215908452754	3.032713638368709e-05
r17/J16000/a_mixed	4580215900685137215	0.015816095921526992
r17/J16000/a_bulk	4600917704259823921	0.4022384837386595
r17/J16000/a_pocket	4624263077110957249	14.341344212096717
r17/J16000/ei_bulk	4584965174382802803	0.033336898151772675
r17/J16000/ei_pocket	4608031744726411177	1.1885882397786907
r17/J16000/gap	4630214648386450932	35.65383420999197
r17/J16000/max_a_quench	4606847811345545622	0.9628511099834209
r17/J16000/hides	0	0.0
r17/J16000/monotone	4607182418800017408	1.0
r17/phi10/T9	4650351087250212771	811.709404755606
r17/phi10/x_no_e_exit	4522103537437364491	2.114664841396568e-06
r17/phi10/collapse	4638131543132385083	119.81350945000024
r17/phi10/x_no_mixed	4558020853508650441	0.0005292674108311964
r17/phi10/x_no_bulk	4558064073557622976	0.0005339533379302916
r17/phi10/x_no_pocket	4558216026405174603	0.0005504280986733749
r17/phi10/a_mixed	4643010112524524669	250.2843005994545
r17/phi10/a_bulk	4643088078261415071	252.50022011888083
r17/phi10/a_pocket	4643286702828120698	260.2909396790561
r17/phi10/ei_bulk	4626583595096443456	20.926824413132863
r17/phi10/ei_pocket	4626765338615387358	21.5725070989182
r17/phi10/gap	4607321374250003291	1.0308543079942953
r17/phi10/max_a_quench	4604662429096596126	0.7202249409443373
r17/phi10/hides	0	0.0
r17/phi10/monotone	4607182418800017408	1.0
r14c/phi10/x_no_mix	4558020853508650441	0.0005292674108311964
r14c/phi10/max_a	4643010112524524669	250.2843005994545
r14c/phi15/x_no_mix	4495143006116862339	3.344574197340878e-08
r14c/phi15/max_a	4580215900685137215	0.015816095921526992
edge/a_mixed	4580215900685137215	0.015816095921526992
