# slice U oracle (cpython) - rungs 49+50+51+52 readers - key	u64 bits (or an integer)	repr
B/g3g4_r2/4/s_lp_bare	4599436227440940155	0.32
B/g3g4_r2/4/s_hp_bare	4603939827068310653	0.6400000000000002
B/g3g4_r2/4/relief_lp	13811402353425189152	-0.054605594591992324
B/g3g4_r2/4/relief_hp	13814463898745348216	-0.08919866550115951
B/g3g4_r2/4/s_min_lp	4610785298501913810	1.8000000000000012
B/g3g4_r2/4/s_min_hp	4610785298501913810	1.8000000000000012
B/g3g4_r2/4/min_phi_lp_bare	4605029139501283261	0.7609379744096639
B/g3g4_r2/4/min_phi_lp_lim	4604537296030369579	0.7063323798176716
B/g3g4_r2/4/min_phi_hp_bare	4606377970296798692	0.9106882749601337
B/g3g4_r2/4/min_phi_hp_lim	4605574540143372757	0.8214896094589742
B/g3g4_r2/4/fuel_removed	4576544515792568132	0.00935171039827732
B/g3g4_r2/4/nu_hp_end	4606805993692824684	0.9582084178947645
B/g3g4_r2/4/nu_hp_end_bare	4606811202852586238	0.9587867508053873
B/g3g4_r2/4/s_off/is_none	0	0
B/g3g4_r2/4/s_off	4610785298501913805	1.8
B/g3g4_r2/4/tau_rel/is_none	1	1
B/g3g4_r2/4/phi_lim/is_none	0	0
B/g3g4_r2/4/phi_lim	4605133280969563832	0.7725
B/g3g4_r2/4/margin/is_none	1	1
B/g3g4_r2/4/relief_watched/is_none	0	0
B/g3g4_r2/4/relief_watched	13811402353425189152	-0.054605594591992324
B/g3g4_r2/4/relief_other/is_none	0	0
B/g3g4_r2/4/relief_other	13814463898745348216	-0.08919866550115951
B/g3g4_r2/4/n_engaged	89	89
B/g3g4_r2/4/spool	1	'lp'
B/g3g4_r2/4/s_eng	4581421828931458171	0.02
B/g3g4_r2/4/s_rel	4610695226509366400	1.7800000000000011
B/g3g4_r2/5/r	4611686018427387904	2.0
B/g3g4_r2/5/rho	4607182418800017408	1.0
B/g3g4_r2/5/ds	4581421828931458171	0.02
B/g3g4_r2/5/deficit_at_release	4594750185667519843	0.15493621321983672
B/g3g4_r2/5/s_lp_bare	4599436227440940155	0.32
B/g3g4_r2/5/s_hp_bare	4603939827068310653	0.6400000000000002
B/g3g4_r2/5/relief_lp	13798957044816812672	-0.007749864819635577
B/g3g4_r2/5/relief_hp	13812109648429016992	-0.05951343958231736
B/g3g4_r2/5/s_min_lp	4611821126416209022	2.0600000000000014
B/g3g4_r2/5/s_min_hp	4611821126416209022	2.0600000000000014
B/g3g4_r2/5/min_phi_lp_bare	4605029139501283261	0.7609379744096639
B/g3g4_r2/5/min_phi_lp_lim	4604959334924655496	0.7531881095900284
B/g3g4_r2/5/min_phi_hp_bare	4606377970296798692	0.9106882749601337
B/g3g4_r2/5/min_phi_hp_lim	4605841920888145770	0.8511748353778164
B/g3g4_r2/5/fuel_removed	4577495104747947540	0.011000719375178249
